ID,Producto,Propósito,Ingredientes disponibles,Propiedades deseadas,Restricciones,Sugerencia de formulación
1,Limpiador Multiusos Básico,Limpieza,"Vinagre Blanco, Agua",Efectividad en Limpieza,No usar sobre superficies de piedra natural como mármol o granito (el ácido las corroe).,"Usar 50% Vinagre Blanco, 50% Agua. Mezclar el vinagre y el agua en una botella con atomizador. Agitar antes de usar."
2,Pasta para Horno Quemado,Limpieza,"Bicarbonato de Sodio, Agua",Efectividad en Limpieza,Usar guantes para evitar resecar las manos por el pH alcalino.,"Usar 1 taza Bicarbonato de Sodio, Suficiente para formar pasta Agua. Mezclar bicarbonato con agua hasta formar una pasta espesa. Aplicar sobre la grasa, dejar actuar toda la noche y retirar con paño húmedo."
3,Exfoliante Labial de Coco,Cuidado Personal,"Aceite de Coco, Azúcar",Efectividad en Cuidado Personal,"Si tienes alergia al coco, sustituir por aceite de oliva.","Usar 1 cucharada Aceite de Coco, 1 cucharada (no incluida en inventario, ingrediente cocina) Azúcar. Mezclar el aceite de coco con azúcar. Frotar suavemente en los labios y enjuagar."
4,Limpiavidrios Sin Rayas,Limpieza,"Alcohol Isopropílico, Vinagre Blanco, Agua",Efectividad en Limpieza,Mantener lejos del fuego. El alcohol es inflamable.,"Usar 1 parte Alcohol Isopropílico, 1 parte Vinagre Blanco, 2 partes Agua. Mezclar alcohol isopropílico, vinagre y agua. Usar con paño de microfibra."
5,Desatascador de Tuberías Ecológico,Limpieza,"Bicarbonato de Sodio, Vinagre Blanco, Agua",Efectividad en Limpieza,No usar si antes usaste un desatascador químico comercial (podría reaccionar).,"Usar 1/2 taza Bicarbonato de Sodio, 1/2 taza Vinagre Blanco, 1 litro (hirviendo) Agua. 1. Verter el bicarbonato en el desagüe. 2. Añadir el vinagre (hará mucha espuma, ¡es normal!). 3. Tapar el desagüe y esperar 15 min. 4. Verter el agua hirviendo con cuidado."
6,Lustramuebles de Madera,Limpieza,"Aceite de Oliva, Limón",Efectividad en Limpieza,"Preparar solo la cantidad a usar en el momento, el limón fresco se pudre rápido.","Usar 2 partes Aceite de Oliva, 1 parte (Jugo de limón) Limón. Mezclar bien en un frasco. Aplicar una pequeña cantidad en un paño suave y frotar la madera en dirección de la veta."
7,Talco Desodorante para Pies,Cuidado Personal,"Fécula de Maíz, Bicarbonato de Sodio, Aceite Esencial de Árbol de Té",Efectividad en Cuidado Personal,No aplicar sobre heridas abiertas.,"Usar 3 cucharadas Fécula de Maíz, 1 cucharada Bicarbonato de Sodio, 5 gotas (Opcional) Aceite Esencial de Árbol de Té. Mezclar los polvos en un recipiente hermético. Añadir el aceite esencial y agitar bien para romper grumos. Aplicar en pies secos."
8,Bombas de Baño Efervescentes,Cuidado Personal,"Bicarbonato de Sodio, Ácido Cítrico en Polvo, Fécula de Maíz, Aceite de Coco",Efectividad en Cuidado Personal,"Tener cuidado al salir de la bañera, el aceite puede dejarla resbaladiza.","Usar 1 taza Bicarbonato de Sodio, 1/2 taza Ácido Cítrico en Polvo, 1/2 taza Fécula de Maíz, 2 cucharadas (derretido) Aceite de Coco. Mezclar polvos secos. Añadir el aceite poco a poco mientras mezclas con las manos hasta que parezca arena húmeda. Compactar en moldes y dejar secar 24h."
9,Limpiador de Vidrios Antivaho,Limpieza,"Alcohol Isopropílico, Agua, Glicerina Vegetal",Efectividad en Limpieza,"No usar en pantallas electrónicas directamente, puede dañar el recubrimiento.","Usar 1 parte Alcohol Isopropílico, 1 parte Agua, 1/2 cucharadita Glicerina Vegetal. Mezclar y aplicar con un paño suave."
10,Crema Hidratante para Manos,Cuidado Personal,"Aceite de Almendras, Glicerina Vegetal, Agua de Rosas",Efectividad en Cuidado Personal,"No usar si tienes alergia a las almendras.","Usar 2 cucharadas Aceite de Almendras, 1 cucharada Glicerina Vegetal, 1/4 taza Agua de Rosas. Mezclar bien y aplicar en las manos."
