ID_Receta,Nombre,Categoria,Ingredientes,Instrucciones,Advertencias
rec_001,Limpiador Multiusos Básico,Limpieza,"ing_001: 50% | agua: 50%","Mezclar el vinagre y el agua en una botella con atomizador. Agitar antes de usar.","No usar sobre superficies de piedra natural como mármol o granito (el ácido las corroe)."
rec_002,Pasta para Horno Quemado,Limpieza,"ing_002: 1 taza | agua: Suficiente para formar pasta","Mezclar bicarbonato con agua hasta formar una pasta espesa. Aplicar sobre la grasa, dejar actuar toda la noche y retirar con paño húmedo.","Usar guantes para evitar resecar las manos por el pH alcalino."
rec_003,Exfoliante Labial de Coco,Cuidado Personal,"ing_008: 1 cucharada | azucar: 1 cucharada (no incluida en inventario, ingrediente cocina)","Mezclar el aceite de coco con azúcar. Frotar suavemente en los labios y enjuagar.","Si tienes alergia al coco, sustituir por aceite de oliva."
rec_004,Limpiavidrios Sin Rayas,Limpieza,"ing_006: 1 parte | ing_001: 1 parte | agua: 2 partes","Mezclar alcohol isopropílico, vinagre y agua. Usar con paño de microfibra.","Mantener lejos del fuego. El alcohol es inflamable."
rec_005,Desatascador de Tuberías Ecológico,Limpieza,"ing_002: 1/2 taza | ing_001: 1/2 taza | agua_caliente: 1 litro (hirviendo)","1. Verter el bicarbonato en el desagüe. 2. Añadir el vinagre (hará mucha espuma, ¡es normal!). 3. Tapar el desagüe y esperar 15 min. 4. Verter el agua hirviendo con cuidado.","No usar si antes usaste un desatascador químico comercial (podría reaccionar)."
rec_006,Lustramuebles de Madera,Limpieza,"ing_013: 2 partes | ing_007: 1 parte (Jugo de limón)","Mezclar bien en un frasco. Aplicar una pequeña cantidad en un paño suave y frotar la madera en dirección de la veta.","Preparar solo la cantidad a usar en el momento, el limón fresco se pudre rápido."
rec_007,Talco Desodorante para Pies,Cuidado Personal,"ing_011: 3 cucharadas | ing_002: 1 cucharada | ing_010: 5 gotas (Opcional)","Mezclar los polvos en un recipiente hermético. Añadir el aceite esencial y agitar bien para romper grumos. Aplicar en pies secos.","No aplicar sobre heridas abiertas."
rec_008,Bombas de Baño Efervescentes,Cuidado Personal,"ing_002: 1 taza | ing_014: 1/2 taza | ing_011: 1/2 taza | ing_008: 2 cucharadas (derretido)","Mezclar polvos secos. Añadir el aceite poco a poco mientras mezclas con las manos hasta que parezca arena húmeda. Compactar en moldes y dejar secar 24h.","Tener cuidado al salir de la bañera, el aceite puede dejarla resbaladiza."
rec_009,Limpiador de Pisos Aromático,Limpieza,"ing_001: 1 parte | agua: 2 partes | ing_017: 10 gotas","Mezclar el vinagre, agua y esencia de lavanda en un recipiente. Usar un trapeador para limpiar los pisos.","No usar en pisos de madera sin sellar." 
rec_010,Crema Hidratante para Manos,Cuidado Personal,"ing_021: 2 cucharadas | ing_012: 1 cucharada | agua_rosa: 1/4 taza","Mezclar el aceite de almendras, glicerina y agua de rosas. Aplicar en las manos.","No usar si tienes alergia a las almendras." 
rec_011,Desinfectante Natural de Superficies,Limpieza,"ing_001: 1 parte | ing_005: 1 parte | ing_010: 5 gotas","Mezclar vinagre, agua oxigenada y aceite esencial de árbol de té. Aplicar con un paño.","No mezclar en el mismo recipiente, aplicar por separado." 
rec_012,Exfoliante Corporal de Café,Cuidado Personal,"cafe_molido: 1/2 taza | ing_008: 1/4 taza | azucar_morena: 1/4 taza","Mezclar café molido, aceite de coco y azúcar morena. Aplicar con movimientos circulares.","No usar en piel irritada o con heridas abiertas." 
rec_013,Limpiador de Alfombras Casero,Limpieza,"ing_002: 1/2 taza | ing_001: 1/2 taza | ing_017: 5 gotas","Espolvorear bicarbonato sobre la alfombra, rociar con vinagre y esencia de lavanda. Aspirar después.","Probar en una pequeña área antes de usar en toda la alfombra." 
rec_014,Mascarilla Capilar Reparadora,Cuidado Personal,"ing_008: 2 cucharadas | miel: 1 cucharada | ing_019: 2 cucharadas","Mezclar aceite de coco, miel y sábila. Aplicar en el cabello y enjuagar después de 30 minutos.","No usar si tienes alergia a alguno de los ingredientes." 
rec_015,Limpiador de Juguetes Infantiles,Limpieza,"ing_001: 1 parte | agua: 1 parte | ing_009: 1 cucharadita","Mezclar vinagre, agua y jabón neutro. Limpiar los juguetes con un paño húmedo.","Enjuagar bien después de limpiar para evitar residuos." 
rec_016,Desodorante Natural en Barra,Cuidado Personal,"ing_002: 2 cucharadas | ing_011: 2 cucharadas | ing_008: 2 cucharadas | ing_017: 5 gotas","Mezclar bicarbonato, fécula de maíz, aceite de coco y esencia de lavanda. Colocar en un molde.","No aplicar sobre piel irritada o recién afeitada." 
