Ingrediente_A,Ingrediente_B,Resultado,Peligro,Mensaje_Usuario
ing_003,ing_004,Gas Cloramina,"MORTAL. Daño pulmonar severo.","¡PELIGRO EXTREMO! Estás intentando mezclar Lejía y Amoníaco. Esto crea vapores tóxicos que pueden matarte. NUNCA hagas esto."
ing_003,ing_001,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡ALTO! No mezcles Lejía con Vinagre (ni ningún ácido). Libera gas cloro, que es altamente venenoso."
ing_003,ing_014,Gas Cloro,"Alta toxicidad. Idéntico a mezclar con vinagre pero más rápido por la concentración.","¡PELIGRO! El Ácido Cítrico es muy fuerte y mezclado con Lejía libera gas cloro inmediatamente."
ing_005,ing_001,Ácido Peracético,Corrosivo e irritante.,"No mezcles Agua Oxigenada con Vinagre en el mismo envase. Crea un ácido corrosivo que puede dañar tu piel y pulmones."
ing_010,PIEL_DIRECTA,"Quemadura química / Sensibilización",Irritación severa.,"Nunca apliques Aceites Esenciales puros directamente sobre la piel. Siempre dilúyelos en un aceite portador (como coco u oliva)."
ing_003,ing_005,Gas Cloro,"MORTAL. Daño pulmonar severo.","¡PELIGRO EXTREMO! Estás intentando mezclar Lejía y Agua Oxigenada. Esto crea vapores tóxicos que pueden matarte. NUNCA hagas esto."
ing_003,ing_007,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Limón. Libera gas cloro, que es altamente venenoso."
ing_005,ing_014,Ácido Peracético,"Corrosivo e irritante.","No mezcles Agua Oxigenada con Ácido Cítrico en el mismo envase. Crea un ácido corrosivo que puede dañar tu piel y pulmones."
ing_006,ing_010,Inflamación,"Inflamable y tóxico.","No mezcles Alcohol Isopropílico con Aceite Esencial de Árbol de Té cerca de una fuente de calor. Puede provocar un incendio."
ing_003,ing_009,Precipitación,"Disminución de eficacia.","No mezcles Lejía con Jabón de Castilla. El jabón pierde su eficacia y se forman residuos sólidos."
ing_004,ing_001,Gas Cloramina,"MORTAL. Daño pulmonar severo.","¡PELIGRO EXTREMO! Estás intentando mezclar Amoníaco y Vinagre. Esto crea vapores tóxicos que pueden matarte. NUNCA hagas esto."
ing_003,ing_019,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Aloe Vera. Libera gas cloro, que es altamente venenoso."
ing_010,ing_017,Reacción Química,"Irritación severa.","No mezcles Aceite Esencial de Árbol de Té con Aceite Esencial de Lavanda sin diluir. Puede causar irritación severa en la piel."
ing_003,ing_002,Gas Cloro,"Alta toxicidad. Quemaduras químicas en pulmones.","¡PELIGRO! No mezcles Lejía con Bicarbonato de Sodio. Libera gas cloro, que es altamente venenoso."
ing_005,ing_006,Explosión,"Riesgo de explosión.","No mezcles Agua Oxigenada con Alcohol Isopropílico en un recipiente cerrado. Puede provocar una explosión."
