ID,Producto,Propósito,Ingredientes disponibles,Propiedades deseadas,Restricciones,Sugerencia de formulación
1,Detergente líquido,Limpieza de ropa,"Sulfato de sodio, Lauril éter sulfato, Agua, Fragancia","Alta espuma, pH neutro, biodegradable","Sin fosfatos, pH entre 6.5 y 7.5","Usar 10% Lauril éter sulfato, 5% Sulfato de sodio, 0.5% Fragancia, resto Agua"
2,Crema hidratante,Cuidado de piel,"Glicerina, Ácido hialurónico, Agua, Conservante","Hidratación profunda, textura ligera","Sin parabenos, no comedogénico","Usar 3% Ácido hialurónico, 5% Glicerina, 0.2% Conservante, resto Agua"
3,Limpiador multiusos,Limpieza de superficies,"Alcohol etílico, Agua, Fragancia, Tensoactivo no iónico","Desinfección, secado rápido, aroma agradable","Sin cloro, inflamabilidad baja","Usar 20% Alcohol etílico, 1% Tensoactivo, 0.5% Fragancia, resto Agua"
4,Shampoo anticaspa,Cuidado capilar,"Piritiona de zinc, Lauril sulfato, Agua, Fragancia","Control de caspa, limpieza suave, pH ácido","pH entre 5 y 6, sin siliconas","Usar 1% Piritiona de zinc, 10% Lauril sulfato, 0.5% Fragancia, resto Agua"
5,Desinfectante de manos,Antiséptico,"Alcohol isopropílico, Glicerina, Agua, Fragancia","Eliminación de gérmenes, hidratación","Alcohol entre 60-70%, sin colorantes","Usar 65% Alcohol isopropílico, 2% Glicerina, 0.3% Fragancia, resto Agua"
6,Crema antiarrugas,Cuidado de piel,"Retinol, Vitamina C, Agua, Conservante","Reducción de arrugas, mejora de elasticidad","Sin parabenos, no comedogénico","Usar 0.5% Retinol, 2% Vitamina C, 0.2% Conservante, resto Agua"
7,Jabón líquido para manos,Higiene personal,"Lauril éter sulfato, Agua, Glicerina, Fragancia","Limpieza efectiva, hidratación, alta espuma","pH neutro, sin colorantes","Usar 8% Lauril éter sulfato, 3% Glicerina, 0.5% Fragancia, resto Agua"
8,Acondicionador capilar,Cuidado capilar,"Aceite de argán, Pantenol, Agua, Conservante","Suavidad, desenredado fácil, brillo","Sin siliconas, pH entre 4.5 y 5.5","Usar 2% Aceite de argán, 1% Pantenol, 0.2% Conservante, resto Agua"
ID,Producto,Propósito,Ingredientes disponibles,Propiedades deseadas,Restricciones,Sugerencia de formulación,No permitido
